id,name,description,best_for,phase,file,tags
race,"RACE Framework (Reach, Act, Convert, Engage)","Customer lifecycle framework covering full journey from awareness to advocacy. Integrates with SOSTAC for tactical execution structure.","Full lifecycle marketing plan; campaign structure; customer journey execution; channel-stage mapping","Execution","frameworks/race.md","lifecycle,execution,channels,kpis"
see-think-do-care,"See-Think-Do-Care Framework (Google)","Audience-intent framework mapping content and channels to customer mindset across four intent stages.","Audience-intent content strategy; content-channel mapping; preventing over-focus on bottom-funnel","Strategy","frameworks/see-think-do-care.md","audience,intent,content,channels"
growth-loops,"Growth Loops vs. Funnels","Compares linear funnel models with self-reinforcing growth loops (viral, content, paid, sales).","Self-reinforcing growth strategy; viral mechanics; product-led growth; reducing paid dependency","Growth","frameworks/growth-loops.md","growth,viral,flywheel,plg"
bullseye,"Bullseye Framework for Channel Prioritization","Systematic 3-ring approach testing 19 traction channels to find the best growth channel.","Channel discovery and prioritization; traction testing; startup channel strategy","Channel Selection","frameworks/bullseye.md","channels,traction,testing,prioritization"
ice-scoring,"ICE Scoring for Experiment Prioritization","Fast scoring method (Impact x Confidence x Ease) for ranking marketing experiments.","Experiment prioritization; initiative ranking; sprint planning; weekly prioritization","Prioritization","frameworks/ice-scoring.md","prioritization,experiments,scoring"
aarrr-pirate-metrics,"AARRR Pirate Metrics","Five-stage lifecycle measurement framework: Acquisition, Activation, Retention, Revenue, Referral.","Product-led growth metrics; lifecycle measurement; startup KPI framework","Measurement","frameworks/aarrr-pirate-metrics.md","metrics,lifecycle,startup,measurement"
customer-journey-mapping,"Customer Journey Mapping","Process for visualizing complete customer experience, identifying gaps and moments of truth.","Understanding customer experience; touchpoint analysis; gap identification; content mapping","Analysis","frameworks/customer-journey-mapping.md","journey,experience,touchpoints,personas"
marketing-maturity-model,"Marketing Maturity Model","5-stage assessment of marketing sophistication from Ad Hoc to Optimized.","Assessing marketing sophistication; client readiness evaluation; setting appropriate recommendations","Assessment","frameworks/marketing-maturity-model.md","maturity,assessment,readiness,stages"
budget-allocation,"Budget Allocation Models","70/20/10 rule plus business-stage allocation models with channel mix optimization.","Budget planning and allocation; channel mix optimization; spend distribution by stage","Planning","frameworks/budget-allocation.md","budget,allocation,spending,roi"
framework-selection-guide,"Framework Selection Guide","Decision tree for choosing the right framework plus recommended combining stack.","Choosing which framework to apply; combining frameworks; comprehensive engagement planning","Meta","frameworks/framework-selection-guide.md","selection,decision-tree,combining,meta"
