id,name,description,best_for,deal_stage,file,tags
1,Sales Deck Slide Templates,Ready-to-customize slide templates with headline formulas and presenter note scripts for 10-11 slide story arc,Building or revising the main sales deck,Discovery,frameworks/sales-deck-slides.md,deck;slides;presenter-notes;story-arc
2,One-Pager Templates,Product one-pager; executive summary one-pager; technical brief templates,Post-meeting leave-behinds and champion tools,Discovery,frameworks/one-pager-templates.md,one-pager;executive-summary;technical-brief
3,Battle Card Template,Internal competitive battle card with strengths; advantages; objections; and proof,Competitive shortlist situations,Qualification,frameworks/battle-card-template.md,battle-card;competitive;internal
4,Objection Response Templates,Structured response cards for six objection categories using ARFA framework,Preparing reps for common objections,All Stages,frameworks/objection-response-templates.md,objections;response-cards;ARFA
5,Champion Kit Templates,Executive summary; internal FAQ; and champion talk track templates,Arming champions for internal selling,Proposal,frameworks/champion-kit-templates.md,champion;executive-summary;FAQ;talk-track
6,Email Templates for Sales,Post-demo follow-up; proposal cover; re-engagement; and win-back email templates,Sales email communication at every deal stage,All Stages,frameworks/email-templates.md,email;follow-up;proposal;re-engagement;win-back
7,Sales Library Index Template,Template for organizing and indexing all sales assets by stage and persona,Setting up a searchable sales content library,All Stages,frameworks/sales-library-index.md,library;index;organization;asset-management
8,Objection Handling Talk Tracks,Detailed talk tracks for six objection categories with verbatim scripts,Real-time objection handling during calls,All Stages,frameworks/objection-handling-talk-tracks.md,objections;talk-tracks;scripts;verbatim
9,Demo Script Templates,Verbatim talk track templates for discovery recap; workflow walkthroughs; value summary; close,Preparing and delivering product demos,Demo,frameworks/demo-script-templates.md,demo;script;talk-track;walkthrough
10,ROI Calculator Formulas and Formats,Input/output variables; Google Sheet layout; embedded calculator; whiteboard script,Building ROI business cases with prospect data,Proposal,frameworks/roi-calculator.md,ROI;calculator;formulas;whiteboard
11,Objection Handling Detailed Talk Tracks,Extended objection handling scripts with full ARFA framework per category,Deep-dive objection preparation and coaching,Negotiation,frameworks/objection-handling-detailed.md,objections;detailed;coaching;ARFA
12,Demo Script Talk Tracks,Extended verbatim demo scripts for each phase with customization prompts,Advanced demo preparation per prospect,Demo,frameworks/demo-script-talk-tracks.md,demo;talk-tracks;verbatim;customization
13,ROI Calculator Detailed Formulas,Extended calculator with full variable lists; format specs; and mistake avoidance,Building comprehensive ROI models,Negotiation,frameworks/roi-calculator-detailed.md,ROI;detailed;formulas;Google-Sheet
14,Battle Card Detailed Template,Full-length competitive battle card with extended objection and proof sections,Deep competitive analysis per competitor,Qualification,frameworks/battle-card-detailed.md,battle-card;detailed;competitive;proof
